电影名,导演,年份,评分,评价人数
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,8.7,562000
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,385714
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,8.8,371505
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,846760
新龙门客栈,李惠民 Raymond Lee,1992,8.7,509693
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,8.5,1051591
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,502268
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,350247
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,575250
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,443017
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,296184
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,8.6,695270
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.6,684050
罗生门,黑泽明 Akira Kurosawa,1950,8.8,358230
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,8.6,652361
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.5,747876
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.5,808421
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,832023
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,455422
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,327747
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,8.5,828485
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,600670
千年女优,今敏 Satoshi Kon,2001,8.8,318036
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,415387
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,399674
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,8.6,756749
攻壳机动队,押井守 Mamoru Oshii,1995,9.0,217897
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,421805
小姐,朴赞郁 Chan-wook Park,2016,8.5,575141
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,310623
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,8.9,272011
血观音,杨雅喆 Ya-che Yang,2017,8.6,559612
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.7,399971
